design,cr,twl_before,twl_after
design_1_small.txt,0.75,6728,2332
design_1_small.txt,0.8,6460,2377
design_1_small.txt,0.85,6946,2263
design_1_small.txt,0.9,6610,2233
design_1_small.txt,0.95,6699,2235
design_2_medium.txt,0.75,13037,3812
design_2_medium.txt,0.8,13133,3677
design_2_medium.txt,0.85,13418,3643
design_2_medium.txt,0.9,13520,3552
design_2_medium.txt,0.95,13141,3437
design_3_large.txt,0.75,24021,6680
design_3_large.txt,0.8,23321,6556
design_3_large.txt,0.85,23794,6406
design_3_large.txt,0.9,23079,6266
design_3_large.txt,0.95,24223,6163
design_4_dense.txt,0.75,38733,11727
design_4_dense.txt,0.8,37958,11648
design_4_dense.txt,0.85,39698,11456
design_4_dense.txt,0.9,39877,11098
design_4_dense.txt,0.95,40694,10828
design_5_extreme.txt,0.75,57796,19265
design_5_extreme.txt,0.8,56736,19150
design_5_extreme.txt,0.85,56986,18829
design_5_extreme.txt,0.9,57293,18398
design_5_extreme.txt,0.95,56927,17696
