step,temperature,twl
0,3247000,6494
1,3247000,6809
2,3084650.0,6354
3,2930417.5,6405
4,2783896.625,6538
5,2644701.7937499997,6500
6,2512466.7040624996,6664
7,2386843.3688593744,6530
8,2267501.2004164057,6471
9,2154126.1403955854,6305
10,2046419.833375806,6689
11,1944098.8417070156,6897
12,1846893.8996216648,6507
13,1754549.2046405815,6500
14,1666821.7444085523,6634
15,1583480.6571881247,6739
16,1504306.6243287185,6115
17,1429091.2931122826,6469
18,1357636.7284566686,7131
19,1289754.8920338352,6481
20,1225267.1474321433,6429
21,1164003.790060536,6176
22,1105803.600557509,6372
23,1050513.4205296335,6579
24,997987.7495031517,6409
25,948088.3620279941,6569
26,900683.9439265943,6349
27,855649.7467302646,6547
28,812867.2593937514,6688
29,772223.8964240638,6691
30,733612.7016028606,6458
31,696932.0665227175,6827
32,662085.4631965816,6681
33,628981.1900367525,6475
34,597532.1305349148,6393
35,567655.5240081691,6589
36,539272.7478077606,6494
37,512309.11041737255,6571
38,486693.6548965039,6545
39,462358.9721516787,6586
40,439241.02354409476,6436
41,417278.97236689,7050
42,396415.0237485455,6247
43,376594.2725611182,6277
44,357764.55893306225,6473
45,339876.3309864091,6665
46,322882.5144370886,6643
47,306738.3887152342,6668
48,291401.4692794725,6107
49,276831.39581549884,6786
50,262989.8260247239,6539
51,249840.33472348767,6589
52,237348.3179873133,6659
53,225480.90208794762,6462
54,214206.8569835502,6316
55,203496.5141343727,6031
56,193321.68842765407,6647
57,183655.60400627134,6665
58,174472.82380595777,6606
59,165749.18261565987,6492
60,157461.72348487686,6509
61,149588.637310633,6776
62,142109.20544510134,6825
63,135003.74517284628,6928
64,128253.55791420395,6230
65,121840.88001849374,6830
66,115748.83601756905,6573
67,109961.39421669059,6787
68,104463.32450585606,7019
69,99240.15828056325,6535
70,94278.15036653508,6421
71,89564.24284820832,6418
72,85086.0307057979,6762
73,80831.729170508,6540
74,76790.1427119826,6445
75,72950.63557638346,6812
76,69303.10379756428,6505
77,65837.94860768606,6305
78,62546.05117730176,6554
79,59418.748618436664,6361
80,56447.81118751483,6711
81,53625.42062813909,6494
82,50944.14959673213,6595
83,48396.94211689552,6576
84,45977.09501105075,6661
85,43678.240260498205,6817
86,41494.32824747329,6569
87,39419.611835099626,6560
88,37448.631243344644,6193
89,35576.19968117741,6411
90,33797.38969711854,6534
91,32107.52021226261,6673
92,30502.14420164948,7018
93,28977.036991567005,6784
94,27528.185141988655,6943
95,26151.775884889223,6347
96,24844.187090644762,6665
97,23601.977736112523,6415
98,22421.878849306897,6252
99,21300.784906841553,6039
100,20235.745661499473,6039
101,19223.9583784245,6885
102,18262.760459503275,6493
103,17349.622436528112,6706
104,16482.141314701705,6423
105,15658.034248966618,6388
106,14875.132536518287,6185
107,14131.375909692373,6534
108,13424.807114207753,6403
109,12753.566758497365,6412
110,12115.888420572497,6865
111,11510.093999543871,6549
112,10934.589299566676,6465
113,10387.859834588342,6733
114,9868.466842858925,6533
115,9375.043500715978,6609
116,8906.291325680178,6450
117,8460.97675939617,6584
118,8037.927921426361,6861
119,7636.0315253550425,6696
120,7254.22994908729,6594
121,6891.5184516329255,6358
122,6546.942529051279,6309
123,6219.595402598715,6494
124,5908.615632468779,6577
125,5613.1848508453395,6501
126,5332.525608303073,6414
127,5065.899327887919,6273
128,4812.604361493522,6448
129,4571.974143418846,6423
130,4343.375436247904,6826
131,4126.206664435508,6773
132,3919.8963312137325,6535
133,3723.9015146530455,6363
134,3537.706438920393,6484
135,3360.821116974373,6183
136,3192.7800611256544,6126
137,3033.1410580693714,6973
138,2881.4840051659025,6449
139,2737.4098049076074,6616
140,2600.539314662227,6377
141,2470.5123489291154,6680
142,2346.9867314826597,6504
143,2229.6373949085264,6446
144,2118.1555251631,6893
145,2012.2477489049447,6724
146,1911.6353614596974,6506
147,1816.0535933867125,6628
148,1725.2509137173768,6486
149,1638.988368031508,6906
150,1557.0389496299324,6711
151,1479.1870021484358,6337
152,1405.227652041014,6760
153,1334.966269438963,6193
154,1268.2179559670149,6490
155,1204.807058168664,6581
156,1144.5667052602307,6351
157,1087.3383699972192,6580
158,1032.9714514973582,6303
159,981.3228789224902,6649
160,932.2567349763657,6493
161,885.6438982275473,6284
162,841.36170331617,6730
163,799.2936181503615,6049
164,759.3289372428434,6493
165,721.3624903807012,6796
166,685.294365861666,6686
167,651.0296475685827,6502
168,618.4781651901536,6498
169,587.5542569306459,6800
170,558.1765440841136,6544
171,530.2677168799079,6256
172,503.75433103591246,6557
173,478.5666144841168,6361
174,454.63828375991096,6897
175,431.9063695719154,6501
176,410.3110510933196,6714
177,389.7954985386536,6208
178,370.3057236117209,6486
179,351.7904374311348,5977
180,334.20091555957805,6397
181,317.49086978159914,6402
182,301.61632629251915,6631
183,286.5355099778932,6386
