step,temperature,twl
0,6782000,13564
1,6782000,13313
2,6442900.0,13689
3,6120755.0,13783
4,5814717.25,13456
5,5523981.3875,13503
6,5247782.318125,13325
7,4985393.20221875,13163
8,4736123.542107812,13068
9,4499317.365002422,13989
10,4274351.4967523,13235
11,4060633.921914685,13109
12,3857602.2258189507,13281
13,3664722.114528003,13324
14,3481486.0088016028,13131
15,3307411.7083615223,13734
16,3142041.122943446,13589
17,2984939.0667962735,13601
18,2835692.1134564597,13231
19,2693907.5077836365,13031
20,2559212.1323944544,12861
21,2431251.5257747318,13136
22,2309688.949485995,13386
23,2194204.502011695,13380
24,2084494.2769111102,13733
25,1980269.5630655545,13508
26,1881256.0849122766,13171
27,1787193.2806666626,13601
28,1697833.6166333293,13238
29,1612941.9358016627,13592
30,1532294.8390115795,13310
31,1455680.0970610005,12891
32,1382896.0922079505,12926
33,1313751.2875975529,13926
34,1248063.7232176752,13387
35,1185660.5370567914,13013
36,1126377.5102039517,12758
37,1070058.6346937541,13287
38,1016555.7029590664,13561
39,965727.9178111131,13933
40,917441.5219205574,13679
41,871569.4458245295,13986
42,827990.973533303,12818
43,786591.4248566378,12974
44,747261.853613806,13342
45,709898.7609331156,13275
46,674403.8228864598,13484
47,640683.6317421368,13328
48,608649.4501550299,13681
49,578216.9776472783,13632
50,549306.1287649143,13339
51,521840.8223266686,13274
52,495748.78121033515,13684
53,470961.3421498184,13271
54,447413.2750423274,13277
55,425042.61129021103,13291
56,403790.48072570044,13049
57,383600.9566894154,13674
58,364420.9088549446,13284
59,346199.86341219733,12977
60,328889.87024158746,13101
61,312445.37672950805,13522
62,296823.1078930326,13831
63,281981.95249838097,13533
64,267882.8548734619,13370
65,254488.71212978876,13372
66,241764.2765232993,13433
67,229676.06269713433,13403
68,218192.2595622776,13362
69,207282.6465841637,13499
70,196918.51425495552,13353
71,187072.58854220773,13673
72,177718.95911509733,13658
73,168833.01115934245,13852
74,160391.36060137532,13474
75,152371.79257130655,13253
76,144753.20294274122,13869
77,137515.54279560415,13713
78,130639.76565582394,13218
79,124107.77737303273,13969
80,117902.38850438109,13321
81,112007.26907916203,13480
82,106406.90562520392,12902
83,101086.56034394371,13556
84,96032.23232674653,13599
85,91230.62071040919,13952
86,86669.08967488873,13255
87,82335.63519114429,13424
88,78218.85343158708,13525
89,74307.91076000773,13503
90,70592.51522200734,13243
91,67062.88946090697,12777
92,63709.74498786162,13016
93,60524.257738468536,13633
94,57498.044851545106,13868
95,54623.14260896785,13548
96,51891.985478519455,13023
97,49297.38620459348,13307
98,46832.516894363805,13224
99,44490.891049645616,13729
100,42266.34649716333,13295
101,40153.02917230516,13363
102,38145.3777136899,13093
103,36238.1088280054,12878
104,34426.20338660513,13832
105,32704.89321727487,12776
106,31069.648556411124,13453
107,29516.16612859057,13785
108,28040.357822161037,13196
109,26638.339931052982,13842
110,25306.422934500333,13401
111,24041.101787775315,13081
112,22839.046698386548,13281
113,21697.09436346722,13435
114,20612.239645293856,13897
115,19581.62766302916,12838
116,18602.5462798777,13621
117,17672.418965883815,13639
118,16788.798017589623,13587
119,15949.35811671014,13225
120,15151.890210874633,13128
121,14394.2957003309,13665
122,13674.580915314355,13253
123,12990.851869548636,12899
124,12341.309276071204,13543
125,11724.243812267643,13578
126,11138.03162165426,14106
127,10581.130040571546,13374
128,10052.073538542969,13573
129,9549.46986161582,13231
130,9071.996368535029,13649
131,8618.396550108277,13311
132,8187.4767226028625,13271
133,7778.102886472719,13379
134,7389.197742149082,13362
135,7019.737855041628,13646
136,6668.750962289546,13501
137,6335.313414175068,12775
138,6018.547743466314,13558
139,5717.620356292999,13557
140,5431.739338478348,13147
141,5160.152371554431,13359
142,4902.144752976709,13499
143,4657.037515327874,13215
144,4424.18563956148,13654
145,4202.976357583405,13297
146,3992.8275397042344,13909
147,3793.1861627190224,13070
148,3603.526854583071,13100
149,3423.350511853917,13499
150,3252.182986261221,13207
151,3089.5738369481596,13500
152,2935.0951451007513,13278
153,2788.340387845714,13135
154,2648.923368453428,13270
155,2516.477200030756,13619
156,2390.6533400292183,13314
157,2271.120673027757,14191
158,2157.564639376369,13078
159,2049.6864074075506,13245
160,1947.202087037173,12597
161,1849.8419826853142,12602
162,1757.3498835510484,13431
163,1669.4823893734958,13597
164,1586.008269904821,13472
165,1506.7078564095798,13230
166,1431.3724635891008,13666
167,1359.8038404096458,13305
168,1291.8136483891635,13080
169,1227.2229659697052,13021
170,1165.86181767122,12671
171,1107.568726787659,13683
172,1052.190290448276,13055
173,999.5807759258622,13383
174,949.6017371295691,13332
175,902.1216502730906,13533
176,857.0155677594361,13397
177,814.1647893714643,13551
178,773.4565499028911,13430
179,734.7837224077465,13286
180,698.0445362873592,13611
181,663.1423094729912,13216
182,629.9851939993416,13155
183,598.4859342993745,13098
184,568.5616375844058,13026
185,540.1335557051855,13357
186,513.1268779199262,12745
187,487.4705340239299,13388
188,463.09700732273336,13109
189,439.94215695659665,13320
190,417.9450491087668,13662
191,397.0477966533284,12499
192,377.19540682066196,13672
193,358.3356364796288,13428
194,340.41885465564735,12792
