step,temperature,twl
0,11799000,23598
1,11799000,24156
2,11209050.0,23680
3,10648597.5,23994
4,10116167.625,23795
5,9610359.24375,24414
6,9129841.2815625,23955
7,8673349.217484374,23859
8,8239681.756610154,24012
9,7827697.668779646,24603
10,7436312.785340663,23346
11,7064497.146073629,24275
12,6711272.288769947,24538
13,6375708.67433145,23890
14,6056923.240614877,24883
15,5754077.078584133,23739
16,5466373.224654926,24683
17,5193054.56342218,23906
18,4933401.835251071,23363
19,4686731.743488517,23610
20,4452395.156314091,24724
21,4229775.398498386,24124
22,4018286.6285734666,22889
23,3817372.297144793,24909
24,3626503.6822875533,23799
25,3445178.4981731754,24036
26,3272919.5732645164,24448
27,3109273.5946012903,24079
28,2953809.9148712256,24279
29,2806119.419127664,24161
30,2665813.448171281,23712
31,2532522.775762717,23362
32,2405896.636974581,23690
33,2285601.805125852,23904
34,2171321.7148695593,23885
35,2062755.6291260812,24846
36,1959617.847669777,24031
37,1861636.9552862882,24323
38,1768555.1075219738,24265
39,1680127.352145875,23725
40,1596120.9845385812,24384
41,1516314.935311652,24109
42,1440499.1885460694,24826
43,1368474.2291187658,22946
44,1300050.5176628274,24367
45,1235047.991779686,23931
46,1173295.5921907015,24113
47,1114630.8125811664,23900
48,1058899.271952108,23255
49,1005954.3083545025,23985
50,955656.5929367774,23454
51,907873.7632899384,23544
52,862480.0751254415,23913
53,819356.0713691694,23658
54,778388.2678007109,24202
55,739468.8544106752,24128
56,702495.4116901414,23512
57,667370.6411056343,24521
58,634002.1090503525,24341
59,602302.0035978348,24275
60,572186.903417943,24149
61,543577.5582470458,24285
62,516398.6803346935,23956
63,490578.7463179588,23400
64,466049.80900206085,23948
65,442747.3185519578,24148
66,420609.95262435987,24802
67,399579.4549931419,23988
68,379600.48224348476,23187
69,360620.45813131053,24315
70,342589.435224745,24257
71,325459.96346350777,24187
72,309186.9652903324,24751
73,293727.61702581577,24116
74,279041.23617452494,23836
75,265089.17436579865,24255
76,251834.7156475087,23459
77,239242.97986513327,23634
78,227280.8308718766,24178
79,215916.78932828276,23490
80,205120.9498618686,24413
81,194864.90236877516,23790
82,185121.6572503364,23631
83,175865.57438781956,24285
84,167072.2956684286,24108
85,158718.68088500714,23513
86,150782.74684075676,23605
87,143243.60949871893,24385
88,136081.42902378298,24629
89,129277.35757259383,22980
90,122813.48969396413,24626
91,116672.81520926591,23621
92,110839.17444880262,23738
93,105297.21572636248,23825
94,100032.35494004436,23880
95,95030.73719304214,24591
96,90279.20033339002,23675
97,85765.24031672052,23584
98,81476.97830088448,23083
99,77403.12938584025,24504
100,73532.97291654823,24469
101,69856.32427072081,23183
102,66363.50805718476,23468
103,63045.332654325524,23705
104,59893.066021609244,24014
105,56898.41272052878,24036
106,54053.49208450234,24616
107,51350.81748027722,23919
108,48783.27660626335,24320
109,46344.11277595018,23971
110,44026.90713715267,23634
111,41825.56178029504,24053
112,39734.28369128028,24257
113,37747.56950671627,23859
114,35860.191031380455,24404
115,34067.18147981143,24162
116,32363.822405820854,24034
117,30745.63128552981,23901
118,29208.34972125332,24015
119,27747.932235190652,24641
120,26360.53562343112,24803
121,25042.50884225956,24234
122,23790.383400146584,24142
123,22600.864230139254,23873
124,21470.82101863229,23668
125,20397.279967700673,23217
126,19377.41596931564,24319
127,18408.54517084986,24104
128,17488.117912307363,24311
129,16613.712016691996,24539
130,15783.026415857395,24623
131,14993.875095064524,23951
132,14244.181340311297,24358
133,13531.972273295733,24109
134,12855.373659630945,24343
135,12212.604976649396,23248
136,11601.974727816925,23733
137,11021.875991426079,23372
138,10470.782191854774,24114
139,9947.243082262035,23882
140,9449.880928148934,23824
141,8977.386881741486,23290
142,8528.517537654412,23732
143,8102.091660771691,23847
144,7696.987077733106,23997
145,7312.13772384645,24077
146,6946.530837654127,23808
147,6599.20429577142,23648
148,6269.244080982849,24273
149,5955.7818769337055,23628
150,5657.99278308702,24165
151,5375.093143932669,24457
152,5106.338486736035,23005
153,4851.021562399233,24570
154,4608.470484279271,24579
155,4378.046960065307,24597
156,4159.144612062041,24135
157,3951.187381458939,23769
158,3753.628012385992,23430
159,3565.946611766692,23381
160,3387.6492811783573,23346
161,3218.266817119439,24170
162,3057.353476263467,23579
163,2904.4858024502937,24729
164,2759.2615123277787,23576
165,2621.2984367113895,24292
166,2490.2335148758198,24282
167,2365.721839132029,23777
168,2247.4357471754274,24084
169,2135.063959816656,23947
170,2028.310761825823,23577
171,1926.8952237345318,23879
172,1830.5504625478052,23560
173,1739.0229394204148,23446
174,1652.071792449394,23519
175,1569.4682028269242,23308
176,1490.994792685578,23949
177,1416.445053051299,23658
178,1345.622800398734,23716
179,1278.341660378797,23580
180,1214.4245773598573,23796
181,1153.7033484918643,24096
182,1096.018181067271,23448
183,1041.2172720139074,24154
184,989.156408413212,22873
185,939.6985879925514,22889
186,892.7136585929238,23236
187,848.0779756632776,23446
188,805.6740768801137,23674
189,765.390373036108,24045
190,727.1208543843026,23060
191,690.7648116650874,23986
192,656.2265710818331,23584
193,623.4152425277414,23839
194,592.2444804013543,24110
195,562.6322563812865,22693
196,534.5006435622222,23504
197,507.7756113841111,23469
198,482.3868308149055,23696
199,458.2674892741602,23600
200,435.3541148104522,23321
201,413.5864090699296,23221
202,392.9070886164331,23380
203,373.26173418561143,23843
204,354.5986474763308,22948
205,336.8687151025143,23516
206,320.02527934738856,23897
207,304.02401538001914,24145
208,288.82281461101815,24022
209,274.38167388046725,22974
210,260.6625901864439,23789
211,247.62946067712167,23484
212,235.2479876432656,22920
213,223.4855882611023,23102
214,212.31130884804716,22725
215,201.6957434056448,23036
216,191.61095623536255,23395
217,182.03040842359442,22489
218,172.92888800241468,23372
219,164.28244360229394,22534
220,156.06832142217922,23379
221,148.26490535107027,23124
222,140.85166008351675,22819
223,133.8090770793409,22820
224,127.11862322537385,23459
225,120.76269206410515,22637
226,114.72455746089989,23157
227,108.98832958785489,22450
228,103.53891310846214,22877
229,98.36196745303903,22362
230,93.44386908038707,23050
231,88.77167562636771,21960
232,84.33309184504932,22276
233,80.11643725279686,21938
234,76.11061539015701,21569
235,72.30508462064915,21294
236,68.68983038961669,21081
237,65.25533887013584,21944
238,61.99257192662905,21338
239,58.89294333029759,21973
240,55.94829616378271,21543
241,53.15088135559357,20979
242,50.49333728781389,20301
243,47.96867042342319,20835
244,45.57023690225203,20288
245,43.29172505713942,19957
246,41.12713880428245,19872
247,39.07078186406833,19548
248,37.11724277086491,19629
249,35.26138063232167,19969
250,33.498311600705584,19140
251,31.8233960206703,18664
