step,temperature,twl
0,19533000,39066
1,19533000,40011
2,18556350.0,39566
3,17628532.5,40320
4,16747105.875,39945
5,15909750.581249999,38941
6,15114263.052187499,40301
7,14358549.899578122,39586
8,13640622.404599216,40281
9,12958591.284369254,38912
10,12310661.720150791,39026
11,11695128.634143252,39126
12,11110372.20243609,39204
13,10554853.592314284,39361
14,10027110.912698569,40100
15,9525755.36706364,40022
16,9049467.598710457,39491
17,8596994.218774933,39002
18,8167144.507836186,40202
19,7758787.2824443765,40582
20,7370847.918322157,39273
21,7002305.522406049,39517
22,6652190.246285746,39288
23,6319580.733971458,39554
24,6003601.697272885,39541
25,5703421.612409241,39806
26,5418250.5317887785,39136
27,5147338.005199339,39491
28,4889971.104939372,40213
29,4645472.5496924035,39054
30,4413198.922207783,39501
31,4192538.976097394,40571
32,3982912.027292524,38954
33,3783766.4259278974,40133
34,3594578.104631502,40742
35,3414849.1993999267,39140
36,3244106.73942993,40567
37,3081901.4024584335,39896
38,2927806.3323355117,40264
39,2781416.0157187358,39451
40,2642345.214932799,39542
41,2510227.9541861587,40284
42,2384716.5564768505,40074
43,2265480.728653008,40266
44,2152206.6922203577,40443
45,2044596.3576093398,40772
46,1942366.5397288727,39106
47,1845248.212742429,39305
48,1752985.8021053073,39143
49,1665336.512000042,39472
50,1582069.6864000398,40884
51,1502966.2020800377,39630
52,1427817.8919760357,40036
53,1356426.9973772338,40253
54,1288605.647508372,39524
55,1224175.3651329535,39885
56,1162966.5968763058,39525
57,1104818.2670324903,40031
58,1049577.3536808658,39534
59,997098.4859968225,39640
60,947243.5616969813,38569
61,899881.3836121322,40509
62,854887.3144315255,39139
63,812142.9487099493,40473
64,771535.8012744518,39952
65,732959.0112107291,39334
66,696311.0606501927,39038
67,661495.507617683,39336
68,628420.7322367989,40378
69,596999.6956249588,39302
70,567149.7108437109,39680
71,538792.2253015253,38675
72,511852.61403644906,40068
73,486259.9833346266,40187
74,461946.9841678952,39327
75,438849.63495950046,38962
76,416907.1532115254,40066
77,396061.7955509491,38419
78,376258.70577340166,39713
79,357445.77048473153,38955
80,339573.48196049494,40256
81,322594.80786247016,38573
82,306465.0674693466,39525
83,291141.81409587926,39498
84,276584.7233910853,40058
85,262755.487221531,39505
86,249617.71286045443,39151
87,237136.82721743168,39576
88,225279.9858565601,39542
89,214015.98656373206,38889
90,203315.18723554545,39397
91,193149.42787376817,39458
92,183491.95648007977,40060
93,174317.35865607578,40377
94,165601.490723272,39610
95,157321.41618710838,40130
96,149455.34537775296,40534
97,141982.5781088653,40468
98,134883.44920342203,39584
99,128139.27674325093,39524
100,121732.31290608838,39239
101,115645.69726078396,39562
102,109863.41239774476,39708
103,104370.24177785752,39690
104,99151.72968896464,39844
105,94194.1432045164,40253
106,89484.43604429057,39890
107,85010.21424207604,39953
108,80759.70352997223,39246
109,76721.71835347363,39699
110,72885.63243579994,39922
111,69241.35081400994,39113
112,65779.28327330944,39973
113,62490.31910964396,39111
114,59365.80315416176,40392
115,56397.51299645367,40310
116,53577.63734663098,40825
117,50898.75547929943,38836
118,48353.817705334455,39740
119,45936.12682006773,40217
120,43639.32047906434,39835
121,41457.354455111126,40261
122,39384.486732355566,38873
123,37415.26239573779,40106
124,35544.4992759509,39585
125,33767.27431215335,39747
126,32078.91059654568,38940
127,30474.965066718396,39359
128,28951.216813382474,39760
129,27503.65597271335,40394
130,26128.47317407768,39912
131,24822.049515373794,39711
132,23580.947039605104,39069
133,22401.89968762485,40215
134,21281.804703243604,40298
135,20217.714468081424,39446
136,19206.82874467735,39108
137,18246.487307443484,40602
138,17334.162942071307,39360
139,16467.45479496774,38883
140,15644.082055219353,38950
141,14861.877952458384,40071
142,14118.784054835465,39608
143,13412.84485209369,40304
144,12742.202609489006,40125
145,12105.092479014555,39670
146,11499.837855063826,40240
147,10924.845962310634,39065
148,10378.603664195101,39437
149,9859.673480985346,40085
150,9366.689806936078,40118
151,8898.355316589274,39121
152,8453.437550759809,40017
153,8030.765673221818,39555
154,7629.227389560727,39046
155,7247.76602008269,39040
156,6885.377719078556,40817
157,6541.108833124627,39932
158,6214.053391468396,39850
159,5903.350721894975,40155
160,5608.183185800226,39532
161,5327.774026510215,38290
162,5061.385325184704,39253
163,4808.3160589254685,39585
164,4567.900255979195,38740
165,4339.505243180235,39180
166,4122.529981021223,39062
167,3916.4034819701615,39896
168,3720.5833078716532,39636
169,3534.5541424780704,39586
170,3357.8264353541667,39452
171,3189.935113586458,39486
172,3030.438357907135,38953
173,2878.916440011778,39367
174,2734.970618011189,40224
175,2598.222087110629,39830
176,2468.3109827550975,39393
177,2344.8954336173424,37534
178,2227.650661936475,39362
179,2116.268128839651,39822
180,2010.4547223976685,39040
181,1909.931986277785,40385
182,1814.4353869638956,39372
183,1723.7136176157007,39579
184,1637.5279367349156,39560
185,1555.6515398981696,40349
186,1477.868962903261,39540
187,1403.975514758098,39283
188,1333.776739020193,39909
189,1267.0879020691832,39024
190,1203.733506965724,39518
191,1143.5468316174379,39844
192,1086.3694900365658,39701
193,1032.0510155347374,39490
194,980.4484647580005,39302
195,931.4260415201004,39348
196,884.8547394440953,40212
197,840.6120024718905,38648
198,798.5814023482959,39849
199,758.652332230881,39633
200,720.719715619337,39746
201,684.6837298383701,39904
202,650.4495433464516,39744
203,617.927066179129,40489
204,587.0307128701726,39169
205,557.6791772266639,38866
206,529.7952183653307,38341
207,503.30545744706416,39046
208,478.14018457471093,39411
209,454.2331753459754,38987
210,431.5215165786766,40061
211,409.9454407497428,38551
212,389.4481687122556,39208
213,369.9757602766428,38718
214,351.47697226281065,38987
215,333.9031236496701,38917
216,317.20796746718656,37825
217,301.34756909382725,38166
218,286.28019063913587,37431
219,271.96618110717907,38950
220,258.3678720518201,38316
221,245.44947844922908,38597
222,233.1770045267676,39002
223,221.51815430042922,37702
224,210.44224658540776,39289
225,199.92013425613737,37764
226,189.92412754333048,38729
227,180.42792116616394,37893
228,171.40652510785574,37313
229,162.83619885246296,37120
230,154.6943889098398,38273
231,146.9596694643478,36545
232,139.6116859911304,38484
233,132.63110169157386,38077
234,125.99954660699517,37092
235,119.6995692766454,36413
236,113.71459081281313,37088
237,108.02886127217246,37048
238,102.62741820856384,37508
239,97.49604729813564,36593
240,92.62124493322885,37301
241,87.99018268656741,36533
242,83.59067355223904,35961
243,79.41113987462708,35491
244,75.44058288089572,35508
245,71.66855373685092,35320
246,68.08512605000837,35491
247,64.68086974750794,35010
248,61.44682626013254,36280
