step,temperature,twl
0,28354000,56708
1,28354000,57336
2,26936300.0,58599
3,25589485.0,56994
4,24310010.75,58422
5,23094510.2125,57958
6,21939784.701874997,59202
7,20842795.466781247,57479
8,19800655.693442184,58993
9,18810622.908770073,57704
10,17870091.76333157,56312
11,16976587.17516499,58438
12,16127757.81640674,57439
13,15321369.925586402,57586
14,14555301.42930708,58682
15,13827536.357841726,57840
16,13136159.539949639,58067
17,12479351.562952157,58833
18,11855383.984804548,56852
19,11262614.78556432,57500
20,10699484.046286104,57605
21,10164509.843971798,57579
22,9656284.351773208,57036
23,9173470.134184547,58067
24,8714796.62747532,57701
25,8279056.796101553,58298
26,7865103.956296476,57721
27,7471848.758481652,58085
28,7098256.320557568,57954
29,6743343.504529689,57971
30,6406176.329303205,56812
31,6085867.512838044,57470
32,5781574.137196141,57761
33,5492495.430336334,59048
34,5217870.658819517,57829
35,4956977.125878541,57110
36,4709128.269584614,56973
37,4473671.856105383,58120
38,4249988.263300113,58614
39,4037488.8501351075,59174
40,3835614.407628352,58221
41,3643833.687246934,57367
42,3461642.0028845873,56978
43,3288559.902740358,57609
44,3124131.9076033398,57672
45,2967925.3122231727,57152
46,2819529.046612014,57356
47,2678552.594281413,57800
48,2544624.9645673423,58551
49,2417393.716338975,57577
50,2296524.030522026,57599
51,2181697.828995925,58900
52,2072612.9375461286,57212
53,1968982.2906688221,57799
54,1870533.176135381,58277
55,1777006.5173286118,57621
56,1688156.191462181,56947
57,1603748.381889072,56625
58,1523560.9627946184,57902
59,1447382.9146548875,57448
60,1375013.7689221432,57633
61,1306263.0804760358,57793
62,1240949.926452234,57826
63,1178902.430129622,57146
64,1119957.308623141,58766
65,1063959.4431919837,58288
66,1010761.4710323846,56603
67,960223.3974807652,57083
68,912212.2276067269,57403
69,866601.6162263906,56982
70,823271.5354150711,57592
71,782107.9586443175,58218
72,743002.5607121015,57107
73,705852.4326764964,57265
74,670559.8110426716,57756
75,637031.8204905379,58312
76,605180.2294660109,58013
77,574921.2179927104,58132
78,546175.1570930749,57279
79,518866.3992384211,57222
80,492923.07927650004,57858
81,468276.925312675,56784
82,444863.07904704125,57259
83,422619.9250946892,57351
84,401488.9288399547,57114
85,381414.48239795695,58784
86,362343.7582780591,57577
87,344226.5703641561,57696
88,327015.2418459483,57982
89,310664.47975365084,57647
90,295131.2557659683,58552
91,280374.6929776699,57866
92,266355.95832878636,57341
93,253038.16041234703,57497
94,240386.25239172968,58320
95,228366.93977214317,59218
96,216948.592783536,57664
97,206101.1631443592,57521
98,195796.1049871412,57648
99,186006.29973778414,58352
100,176705.98475089492,57980
101,167870.68551335015,58359
102,159477.15123768264,58409
103,151503.29367579852,57709
104,143928.12899200857,57443
105,136731.72254240813,56949
106,129895.1364152877,58518
107,123400.37959452331,58597
108,117230.36061479714,57502
109,111368.84258405727,58276
110,105800.4004548544,58471
111,100510.38043211168,57828
112,95484.86141050608,57278
113,90710.61833998078,58078
114,86175.08742298174,57727
115,81866.33305183265,57495
116,77773.01639924102,57703
117,73884.36557927897,56847
118,70190.14730031502,57244
119,66680.63993529926,56896
120,63346.6079385343,57376
121,60179.27754160758,58421
122,57170.3136645272,58336
123,54311.79798130084,59245
124,51596.2080822358,57992
125,49016.397678124005,58220
126,46565.5777942178,57612
127,44237.29890450691,58191
128,42025.43395928157,58167
129,39924.162261317484,57437
130,37927.95414825161,57984
131,36031.55644083903,58414
132,34229.978618797075,58022
133,32518.47968785722,56934
134,30892.555703464357,58159
135,29347.927918291138,59425
136,27880.53152237658,57191
137,26486.504946257748,58094
138,25162.17969894486,58599
139,23904.070713997615,58672
140,22708.867178297733,58363
141,21573.423819382846,58279
142,20494.752628413702,57813
143,19470.014996993017,58453
144,18496.514247143365,58683
145,17571.688534786197,57873
146,16693.104108046886,57672
147,15858.44890264454,58734
148,15065.526457512313,58321
149,14312.250134636697,57528
150,13596.637627904862,57642
151,12916.805746509619,58201
152,12270.965459184137,57758
153,11657.41718622493,57112
154,11074.546326913682,58702
155,10520.819010567997,57752
156,9994.778060039596,57459
157,9495.039157037616,57813
158,9020.287199185736,57658
159,8569.272839226449,57517
160,8140.809197265126,58626
161,7733.76873740187,58290
162,7347.080300531776,57041
163,6979.726285505187,58436
164,6630.7399712299275,57228
165,6299.20297266843,57048
166,5984.242824035008,57962
167,5685.030682833258,57439
168,5400.779148691595,58255
169,5130.740191257015,57151
170,4874.2031816941635,58790
171,4630.493022609455,56831
172,4398.968371478982,57081
173,4179.019952905032,58439
174,3970.0689552597805,56964
175,3771.5655074967913,58408
176,3582.9872321219514,57462
177,3403.837870515854,58193
178,3233.645976990061,57710
179,3071.963678140558,57271
180,2918.3654942335297,57029
181,2772.447219521853,56855
182,2633.8248585457604,57483
183,2502.1336156184725,58397
184,2377.0269348375487,57525
185,2258.175588095671,58142
186,2145.2668086908875,57371
187,2038.003468256343,58368
188,1936.1032948435259,58377
189,1839.2981301013494,57736
190,1747.3332235962819,58324
191,1659.9665624164677,56227
192,1576.9682342956442,58019
193,1498.1198225808619,57255
194,1423.2138314518188,57274
195,1352.0531398792277,57000
196,1284.4504828852662,56598
197,1220.2279587410028,57912
198,1159.2165608039527,57635
199,1101.255732763755,58293
200,1046.1929461255672,58103
201,993.8832988192888,58594
202,944.1891338783244,56924
203,896.979677184408,57241
204,852.1306933251876,57346
205,809.5241586589282,58094
206,769.0479507259818,57376
207,730.5955531896826,58249
208,694.0657755301985,57975
209,659.3624867536886,57311
210,626.3943624160041,57248
211,595.0746442952039,57618
212,565.3209120804437,57629
213,537.0548664764215,57047
214,510.2021231526004,56564
215,484.69201699497034,57987
216,460.4574161452218,57786
217,437.43454533796074,57990
218,415.5628180710627,56409
219,394.7846771675095,56684
220,375.04544330913404,58094
221,356.29317114367734,56566
222,338.4785125864935,56776
